"Mineral Name","RRUFF Chemistry (plain)","Database ID","Country of Type Locality"
"Euxenite-(Y)","(Y3+,Ca,Ce3+,U4+,Th4+)(Nb5+,Ta5+,Ti4+)2O6","1804","Norway"
"Evanichite","Pb2+6Cr3+(Cr6+O4)2(S6+O4)(OH)7FCl","7222","USA"
"Evansite","Al3PO4(OH)6·8H2O","5181","Slovakia"
"Evdokimovite","Tl1+4(V4+O)3(S6+O4)5·5H2O","6206","Russia"
"Eveite","Mn2+2As5+O4(OH)","1805","Sweden"
"Evenkite","C23H48","1806","Russia"
"Eveslogite","(Ca,K,Na,Sr,Ba)48(Ti4+,Nb5+,Fe2+,Fe3+,Mn2+)12(OH)12Si48O144(OH,F,Cl)14","1807","Russia"
"Evseevite","Na2Mg(As5+O4)F","6951","Russia"
"Ewaldite","Ba(Na,Ca,Y,Ce,K)(CO3)2·2.6H2O","1808","USA"
"Ewingite","Mg8Ca8(U6+O2)24(C4+O3)30O4(OH)12·138H2O","6539","Czech Republic"
"Eylettersite","Th4+0.75Al3(PO4)2(OH)6","4984","Democratic Republic of the Congo"
"Eyselite","Fe3+Ge4+3O7(OH)","5253","Namibia"
"Ezcurrite","Na2B5O7(OH)3·2H2O","1809","Argentina"
"Eztlite","Pb2+2Fe3+3(Te4+O3)3(S6+O4)O2Cl","1810","Mexico"
"Fabianite","CaB3O5(OH)","1811","Germany"
"Fabrièsite","Na3Al3Si3O12·2H2O","6136","Myanmar"
"Faheyite","Be2Mn2+Fe3+2(PO4)4·6H2O","1812","Brazil"
"Fahleite","CaZn2+5Fe3+2(As5+O4)6·14H2O","1813","Namibia"
"Fairbankite","Pb2+12(Te4+O3)11(S6+O4)","1814","USA"
"Fairchildite","K2Ca(CO3)2","1815","USA"
"Fairfieldite","Ca2Mn2+(PO4)2·2H2O","1816","USA"
"Faizievite","Li6K2Na(Ca6Na)Ti4+4(Si6O18)2(Si12O30)F2","5361","Tajikistan"
"Falcondoite","Ni2+4Si6O15(OH)2·6H2O","1817","Dominican Republic"
"Falgarite","K4(V4+O)3(S6+O4)5","6801","Tajikistan"
"Falkmanite","Pb2+3Sb3+2S2-6","1818","Germany"
"Falottaite","Mn2+(C2)6+O4·3H2O","6208","Switzerland"
"Falsterite","Ca2MgMn2+2(Fe2+Fe3+)2Zn2+4(PO4)8(OH)4·14H2O","6004","USA"
"Famatinite","Cu1+Cu2+2Sb3+S2-4","1819","Argentina"
"Fanfaniite","Ca4Mn2+Al4(PO4)6(OH)4·12H2O","6788","USA / Germany"
"Fangite","Tl3AsS4","1820","USA"
"Fantappièite","[Na82.5Ca33K16.5]Σ=132(Si99Al99O396)(S6+O4)33·6H2O","5665","Italy"
"Farneseite","Na46Ca10(Si42Al42O168)(S6+O4)12·6H2O","5292","Italy"
"Farringtonite","Mg3(PO4)2","1821","Canada"
"Fassinaite","Pb2+2(CO3)(S2+2O3)2-","5976","Italy"
"Faujasite-Ca","(Ca,Na,Mg)2(Si,Al)12O24·15H2O","1822","Germany"
"Faujasite-Mg","(Mg,Na,K,Ca)2(Si,Al)12O24·15H2O","1823","Germany"
"Faujasite-Na","(Na,Ca,Mg)2(Si,Al)12O24·15H2O","1824","Germany"
"Faustite","Zn2+Al6(PO4)4(OH)8·4H2O","1825","USA"
"Favreauite","Pb2+Bi3+Cu2+6O4(Se4+O3)4(OH)·H2O","6306","Bolivia"
"Fayalite","Fe2+2SiO4","1826","Portugal"
"Fedorite","(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2·3.5H2O","1827","Russia"
"Fedorovskite","Ca2Mg2B4O7(OH)6","1828","Russia"
"Fedotovite","K2Cu2+3O(S6+O4)3","1829","Russia"
"Fehrite","MgCu2+4(S6+O4)2(OH)6·6H2O","6966","Spain"
"Feiite","Fe2+2(Fe2+Ti4+)O5","6836","India (meteorite)"
"Feinglosite","Pb2+2Zn2+(As5+O4)2·H2O","1830","Namibia"
"Feitknechtite","Mn3+O(OH)","1831","USA"
"Feklichevite","Na11Ca9(Fe3+,Fe2+)2Zr4+3Nb5+(Si25O73)(OH,H2O,Cl,O)5","1832","Russia"
"Felbertalite","Cu1+2Pb2+6Bi3+8S2-19","1833","Austria"
"Felsőbányaite","Al4(S6+O4)(OH)10·4H2O","1834","Romania"
"Fenaksite","KNaFe2+Si4O10","1835","Russia"
"Fencooperite","Ba6Fe3+3Si8O23(CO3)2Cl3·H2O","1836","USA"
"Fengchengite","Na12[box]3Ca6Fe3+3Zr4+3Si(Si25O73)(H2O)3(OH)2","6020","China"
"Feodosiyite","Cu2+11Mg2Cl18(OH)8·16H2O","6466","Russia"
"Ferberite","Fe2+W6+O4","1837","Spain"
"Ferchromide","Cr1.5Fe0.2","1838","Russia"
"Ferdowsiite","Ag1+8(Sb3+5As3+3)S2-16","6130","Iran"
"Fergusonite-(Ce)","Ce3+Nb5+O4·0.3H2O","5226","Ukraine"
"Fergusonite-(Ce)-β","Ce3+Nb5+O4","1840","China"
"Fergusonite-(Nd)-β","Nd3+Nb5+O4","5095","China"
"Fergusonite-(Y)","Y3+Nb5+O4","1839","Denmark (Greenland)"
"Fergusonite-(Y)-β","Y3+Nb5+O4","1842","Tajikistan"
"Ferhodsite","(Fe,Rh,Ni,Ir,Cu,Co,Pt)9-xS8","5785","Russia"
"Fermiite","Na4(U6+O2)(S6+O4)3·3H2O","6367","USA"
"Fernandinite","(Ca,Na,K)0.9(V5+,V4+,Fe2+,Ti4+)8O20·4H2O","1844","Peru"
"Feroxyhyte","Fe3+O(OH)","1845","Ukraine"
"Ferraioloite","MgMn2+4(Fe2+0.5Al0.5)4Zn2+4(PO4)8(OH)4·20H2O","6474","USA"
"Ferrarisite","Ca5(As5+O3OH)2(As5+O4)2·9H2O","1846","France"
"Ferriakasakaite-(Ce)","CaCe3+Fe3+AlMn2+(Si2O7)(SiO4)O(OH)","6816","Italy"
"Ferriakasakaite-(La)","CaLa3+Fe3+AlMn2+(Si2O7)(SiO4)O(OH)","6285","Japan"
"Ferriallanite-(Ce)","CaCe3+Fe2+Fe3+Al(SiO4)(Si2O7)O(OH)","1852","Mongolia"
"Ferriallanite-(La)","CaLa3+(Fe3+AlFe2+)(SiO4)(Si2O7)O(OH)","5905","Germany"
"Ferriandrosite-(La)","Mn2+La3+Fe3+AlMn2+(Si2O7)(SiO4)O(OH)","6286","Japan"
"Ferribushmakinite","Pb2+2Fe3+(PO4)(V5+O4)(OH)","6352","USA"
"Ferricerite-(La)","(La,Ce,Ca)9Fe3+(SiO4)3(SiO3OH)4(OH)3","1368","Russia"
"Ferricopiapite","Fe3+2/3Fe3+4(S6+O4)6(OH)2·20H2O","1855","Chile"
"Ferricoronadite","Pb2+(Mn4+6Fe3+2)O16","6492","North Macedonia"
"Ferrierite-K","(K,Na)5(Si31Al5)O72·18H2O","1856","USA"
"Ferrierite-Mg","[Mg2(K,Na)2Ca0.5](Si29Al7)O72·18H2O","1857","Canada"
"Ferrierite-Na","(Na,K)5(Si31Al5)O72·18H2O","1858","USA"
"Ferrierite-NH<sub>4</sub>","(N3-H4,Mg0.5)5(Al5Si31O72)·22H2O","6724","Czech Republic"
"Ferri-fluoro-katophorite","Na(NaCa)(Mg4Fe3+)(Si7Al)O22F2","6278","Canada"
"Ferri-fluoro-leakeite","NaNa2(Mg2Fe3+2Li)Si8O22F2","5814","Kazakhstan"
"Ferri-ghoseite","[box](NaMn2+)(Mg4Fe3+)Si8O22(OH)2","5263","India"
"Ferri-hellandite-(Ce)","(Ca3Ce)Ce2Fe3+2B4Si4O22(OH)2","7100","Norway"
"Ferrihollandite","Ba(Mn4+6Fe3+2)O16","6076","India"
"Ferrihydrite","Fe3+10O14(OH)2","1859","Kazakhstan"
"Ferri-kaersutite","NaCa2(Mg3Fe3+Ti4+)(Si6Al2)O22O2","6348","Antarctica"
"Ferri-katophorite","Na(NaCa)(Mg4Fe3+)(Si7Al)O22(OH)2","1860","Russia"
"Ferri-leakeite","NaNa2(Mg2Fe3+2Li)Si8O22(OH)2","2808","India"
"Ferrilotharmeyerite","CaZn2+Fe3+(As5+O4)2(OH)·H2O","1861","Namibia"
"Ferrimolybdite","Fe3+2(Mo6+O4)3·7H2O","1862","Russia"
"Ferri-mottanaite-(Ce)","Ca4Ce3+2Fe3+(Be1.5[box]0.5)[Si4B4O22]O2","6838","Italy"
"Ferrinatrite","Na3Fe3+(S6+O4)3·3H2O","1863","Chile"
"Ferri-obertiite","NaNa2(Mg3Fe3+Ti4+)Si8O22O2","6478","Germany"
"Ferri-pedrizite","NaLi2[Fe3+2Mg2Li]Si8O22(OH)2","1864","Spain"
"Ferriperbøeite-(Ce)","(CaCe3+3)(Fe3+Al2Fe2+)(Si2O7)(SiO4)3O(OH)2","6674","Sweden"
"Ferriperbøeite-(La)","(CaLa3+3)(Fe3+Al2Fe2+)[Si2O7][SiO4]3O(OH)2","6833","Russia"
"Ferriprehnite","Ca2Fe3+(AlSi3)O10(OH)2","7071","Japan"
"Ferripyrophyllite","Fe3+Si2O5(OH)","1865","Germany"
"Ferrirockbridgeite","(Fe3+0.67[box]0.33)2(Fe3+)3(PO4)3(OH)4(H2O)","6797","USA"
"Ferrisanidine","K(Fe3+Si3O8)","6941","Russia"
"Ferrisepiolite","(Fe3+,Fe2+,Mg)4[(Si,Fe3+)6O15](O,OH)2·6H2O","5884","China"
"Ferrisicklerite","Li1-x(Fe3+,Mn2+)PO4","1866","Sweden"
"Ferristrunzite","Fe3+Fe3+2(PO4)2(OH)3·5H2O","1867","Belgium"
"Ferrisurite","Pb2+2.4Fe3+2Si4O10(CO3)1.7(OH)3·nH2O","1868","USA"
"Ferrisymplesite","Fe3+3(As5+O4)2(OH)3·5H2O","1869","Canada"
"Ferri-taramite","Na(NaCa)(Mg3Fe3+2)(Si6Al2)O22(OH)2","7152","Sweden"
"Ferrivauxite","Fe3+Al2(PO4)2(OH)3·5H2O","6297","Bolivia"
"Ferri-winchite","[box]NaCa(Mg4Fe3+)Si8O22(OH)2","1873","Russia"
"Ferro-actinolite","[box]Ca2Mg2.5-0Fe2+2.5-5Si8O22(OH)2","1874","unknown"
"Ferroalluaudite","NaFe2+Fe3+2(PO4)3","1879","France / USA ?"
"Ferroaluminoceladonite","KFe2+AlSi4O10(OH)2","1875","New Zealand"
"Ferro-anthophyllite","[box]Fe2+2Fe2+5Si8O22(OH)2","1876","USA"
"Ferroberaunite","Fe2+Fe3+5(PO4)4(OH)5·6H2O","7154","United Kingdom"
"Ferrobobfergusonite","[box]Na2Fe2+5Fe3+Al(PO4)6","6621","USA"
"Ferrobustamite","CaFe2+Si2O6","1882","United Kingdom"
"Ferrocarpholite","Fe2+Al2Si2O6(OH)4","1883","Indonesia"
"Ferroceladonite","KFe2+Fe3+Si4O10(OH)2","1884","New Zealand"
"Ferrochiavennite","Ca1-2Fe2+Si5Be2O13(OH)2·2H2O","6100","Norway"
"Ferro-edenite","NaCa2Fe2+5(Si7Al)O22(OH)2","1878","unknown"
"Ferroefremovite","(N3-H4)2Fe2+2(S6+O4)3","6899","Italy"
"Ferroericssonite","BaFe2+2Fe3+(Si2O7)O(OH)","5853","USA"
"Ferro-ferri-fluoro-leakeite","NaNa2(Fe2+2Fe3+2Li)Si8O22F2","1960","USA"
"Ferro-ferri-hornblende","[box]Ca2(Fe2+4Fe3+)(Si7Al)O22(OH)2","6454","Italy"
"Ferro-ferri-katophorite","Na(NaCa)(Fe2+4Fe3+)(Si7Al)O22(OH)2","6535","Argentina"
"Ferro-ferri-nybøite","NaNa2(Fe2+3Fe3+2)(Si7Al)O22(OH)2","1854","Canada"
"Ferro-ferri-obertiite","NaNa2(Fe2+3Fe3+Ti4+)Si8O22O2","5762","USA"
"Ferro-ferri-pedrizite","NaLi2(LiFe2+2Fe3+2)Si8O22(OH)2","5164","Spain"
"Ferrofettelite","Ag1+16Fe2+As3+4S2-15","7147","Germany"
"Ferro-fluoro-edenite","NaCa2Fe2+5(Si7AlO22)F2","7072","Italy"
"Ferro-fluoro-pedrizite","NaLi2(Fe2+2Al2Li)Si8O22F2","5730","Russia"
"Ferro-gedrite","[box]Fe2+2(Fe2+3Al2)(Si6Al2)O22(OH)2","1888","France"
"Ferro-glaucophane","[box]Na2(Fe2+3Al2)Si8O22(OH)2","1889","Italy"
"Ferrohexahydrite","Fe2+S6+O4·6H2O","1890","Ukraine"
"Ferrohögbomite-2N2S","(Fe2+,Mg,Zn2+,Al)3(Al,Ti4+,Fe3+)8O15(OH)","1891","Algeria"
"Ferro-holmquistite","[box]Li2(Fe2+3Al2)Si8O22(OH)2","1892","Australia"
"Ferro-hornblende","[box]Ca2(Fe2+4Al)(Si7Al)O22(OH)2","1893","unknown"
"Ferroindialite","(Fe2+,Mg)2Al3(AlSi5)O18","6177","Germany"
"Ferro-katophorite","NaNaCa[Fe2+4Al](Si7Al)O22(OH)2","2609","Norway"
"Ferrokentbrooksite","Na15Ca6Fe2+3Zr4+3Nb5+(Si25O73)(O,OH,H2O)3(F,Cl)2","1895","Canada"
"Ferrokësterite","Cu1+2Fe2+Sn4+S2-4","1896","United Kingdom"
"Ferrokinoshitalite","BaFe2+3(Si2Al2)O10(OH)2","1897","South Africa"
"Ferrolaueite","Fe2+Fe3+2(PO4)2(OH)2·8H2O","1898","USA"
"Ferromerrillite","Ca9NaFe2+(PO4)7","5557","India (meteorite)"
"Ferronickelplatinum","Pt2FeNi","1900","Russia"
"Ferronigerite-2<i>N</i>1S","(Al,Fe3+,Zn2+)2(Al,Sn4+)6O11(OH)","1901","Nigeria"
"Ferronigerite-6<i>N</i>6S","(Al,Fe3+,Zn2+)3(Al,Sn4+,Fe3+)8O15(OH)","1902","Finland"
"Ferronordite-(Ce)","Na3SrCe3+Fe2+Si6O17","1903","Russia"
"Ferronordite-(La)","Na3SrLa3+Fe2+Si6O17","1904","Russia"
"Ferro-papikeite","NaFe2+2(Fe2+3Al2)(Si5Al3)O22(OH)2","7032","Sweden"
"Ferro-pargasite","NaCa2(Fe2+4Al)(Si6Al2)O22(OH)2","1906","United Kingdom"
"Ferro-pedrizite","NaLi2(Fe2+2Al2Li)Si8O22(OH)2","6311","Russia"
"Ferroqingheiite","Na2Fe2+MgAl(PO4)3","5806","Brazil"
"Ferrorhodonite","CaMn2+3Fe2+(Si5O15)","6544","Australia"
"Ferro-richterite","NaNaCaFe2+5Si8O22(OH)2","1909","unknown"
"Ferrorockbridgeite","(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O)","6749","Germany"
"Ferrorosemaryite","[box]NaFe2+(Fe3+Al)(PO4)3","5261","Rwanda"
"Ferrosaponite","Ca0.3(Fe2+,Mg,Fe3+)3(Si,Al)4O10(OH)2·4H2O","4997","Russia"
"Ferroselite","FeSe2","1910","Russia"
"Ferrosilite","Fe2+2Si2O6","1911","unknown"
"Ferroskutterudite","FeAs3","5591","Russia"
"Ferrostalderite","Cu1+Fe2+2Tl1+As3+2S2-6","6388","Switzerland"
"Ferrostrunzite","Fe2+Fe3+2(PO4)2(OH)2·6H2O","1912","USA"
"Ferrotaaffeite-2<i>N</i>'2S","(Fe2+,Mg,Zn2+)3Al8BeO16","5953","China"
"Ferrotaaffeite-6<i>N</i>'3S","BeFe2+2Al6O12","1913","Finland"
"Ferro-taramite","Na(NaCa)Fe2+3Al2(Si6Al2)O22(OH)2","4926","Norway"
"Ferrotitanowodginite","Fe2+Ti4+Ta5+2O8","1916","Argentina"
"Ferrotochilinite","6Fe2+S2-·5Fe2+(OH)2","5918","Russia"
"Ferrotorryweiserite","Rh5Fe10S16","7171","Russia"
"Ferro-tschermakite","[box]Ca2(Fe2+3Al2)(Si6Al2)O22(OH)2","6642","France"
"Ferrotychite","Na6Fe2+2(CO3)4(S6+O4)","1918","Russia"
"Ferrovalleriite","2(Fe,Cu)S·1.53[(Fe2+,Al,Mg)(OH)2]","6011","Russia"
"Ferrovorontsovite","(Fe5Cu)TlAs4S12","6649","Russia"
"Ferrowodginite","Fe2+Sn4+Ta5+2O8","1920","Finland"
"Ferrowyllieite","NaNaFe2+(Fe2+Al)(PO4)3","1921","USA"
"Ferruccite","NaBF4","1922","Italy"
"Fersmanite","Ca4(Na,Ca)4(Ti4+,Nb5+)4(Si2O7)2O8F3","1923","Russia"
"Fersmite","(Ca,Ce3+,Na)(Nb5+,Ta5+,Ti4+)2(O,OH,F)6","1924","Russia"
"Feruvite","CaFe2+3(Al5Mg)(Si6O18)(BO3)3(OH)3OH","1925","New Zealand"
"Fervanite","Fe3+4V5+4O16·5H2O","1926","USA"
"Fetiasite","(Fe2+,Fe3+,Ti4+)3O2As3+2O5","1927","Italy / Switzerland"
"Fettelite","Ag1+16Hg2+As3+4S2-15","1928","Germany"
"Feynmanite","Na(U6+O2)(S6+O4)(OH)·3.5H2O","6672","USA"
"Fianelite","Mn2+2V5+2O7·2H2O","1929","Switzerland"
"Fibroferrite","Fe3+S6+O4(OH)·5H2O","1930","Chile"
"Fichtelite","C19H34","1931","Germany"
"Fiedlerite","Pb2+3Cl4F(OH)·H2O","1932","Greece"
"Fiemmeite","Cu2+2((C2)6+O4)(OH)2·2H2O","6742","Italy"
"Filatovite","K(Al,Zn2+)2(As5+,Si)2O8","5204","Russia"
"Filipstadite","(Fe3+0.5Sb5+0.5)Mn2+2O4","1933","Sweden"
"Fillowite","Na3CaMn2+11(PO4)9","1934","USA"
"Finchite","Sr(U6+O2)2(V5+2O8)·5H2O","6682","USA"
"Fingerite","Cu2+11O2(V5+O4)6","1935","El Salvador"
"Finnemanite","Pb2+5(As3+O3)3Cl","1936","Sweden"
"Fischesserite","Ag3AuSe2","1937","Czech Republic"
"Fivegite","K4Ca2[AlSi7O17(O2-x(OH)x)][(H2O)2-x(OH)x]Cl (x = 0-2)","5796","Russia"
"Fizélyite","Ag1+5Pb2+14Sb3+21S2-48","4947","Romania"
"Flaggite","Pb2+4Cu2+4Te6+2(S6+O4)2O11(OH)2(H2O)","7151","USA"
"Flagstaffite","C10H22O3","1938","USA"
"Flamite","(Ca,Na,K)2(Si,P)O4","6282","Israel"
"Fleetite","Cu2RhIrSb2","6993","Russia"
"Fleischerite","Pb2+3Ge4+(S6+O4)2(OH)6·3H2O","1939","Namibia"
"Fleisstalite","Fe2+(S4+O3)·3H2O","6566","Austria"
"Fletcherite","Cu2+Ni3+2S2-4","1940","USA"
"Flinkite","Mn2+2Mn3+As5+O4(OH)4","1941","Sweden"
"Flinteite","K2Zn2+Cl4","6302","Russia"
"Florencite-(Ce)","Ce3+Al3(PO4)2(OH)6","1942","Brazil"
"Florencite-(La)","La3+Al3(PO4)2(OH)6","1943","Democratic Republic of the Congo"
"Florencite-(Nd)","Nd3+Al3(PO4)2(OH)6","1944","USA"
"Florencite-(Sm)","Sm3+Al3(PO4)2(OH)6","5804","Russia"
"Florenskyite","FeTiP","1945","Yemen (meteorite)"
"Florensovite","Cu1+(Cr3+1.5Sb5+0.5)S2-4","1946","Russia"
"Flörkeite","(K3Ca2Na)[Al8Si8O32]·12H2O","5696","Germany"
"Fluckite","CaMn2+(As5+O3OH)2·2H2O","1947","France"
"Fluellite","Al2(PO4)F2(OH)·7H2O","1948","United Kingdom"
"Fluoborite","Mg3(BO3)F3","1949","Sweden"
"Fluocerite-(Ce)","Ce3+F3","1950","Sweden"
"Fluocerite-(La)","La3+F3","1951","Kazakhstan"
"Fluorannite","KFe2+3(Si3Al)O10F2","1952","China"
"Fluorapatite","Ca5(PO4)3F","1953","Austria / Germany / Spain / Switzerland"
"Fluorapophyllite-(Cs)","CsCa4(Si8O20)F(H2O)8","6891","Tajikistan"
"Fluorapophyllite-(K)","KCa4Si8O20F·8H2O","1954","India"
"Fluorapophyllite-(Na)","NaCa4Si8O20F·8H2O","3300","Japan"
"Fluorapophyllite-(NH_4_)","(N3-H4)Ca4(Si8O20)F·8H2O","6971","Slovakia"
"Fluorarrojadite-(BaFe)","Na2CaBaFe2+Fe2+13Al(PO4)11(PO3OH)F2","5344","Morocco"
"Fluorarrojadite-(BaNa)","BaNa4CaFe2+13Al(PO4)11(PO3OH)F2","5343","Slovakia"
"Fluorbarytolamprophyllite","(Ba,Sr,K)2[(Na,Fe2+)3Ti4+F2][Ti4+2(Si2O7)2O2]","6615","Russia"
"Fluorbritholite-(Ce)","(Ce3+,Ca)5(SiO4)3F","1955","Canada"
"Fluorbritholite-(Y)","(Y3+,Ca)5(SiO4)3F","5733","Norway"
"Fluor-buergerite","NaFe3+3Al6(Si6O18)(BO3)3O3F","1243","Mexico"
"Fluorcalciobritholite","(Ca,Ce3+)5(SiO4,PO4)3F","5519","Russia"
"Fluorcalciomicrolite","(Ca,Na)2Ta5+2O6F","6040","Brazil"
"Fluorcalciopyrochlore","(Ca,Na)2(Nb5+,Ti4+)2O6F","6218","China"
"Fluorcalcioroméite","(Ca,Na)2Sb5+2O6F","6143","Switzerland"
"Fluorcanasite","K3Na3Ca5Si12O30F4·H2O","5632","Russia"
"Fluorcaphite","SrCaCa3(PO4)3F","1956","Russia"
"Fluorcarletonite","KNa4Ca4Si8O18(CO3)4F·H2O","6926","Russia"
"Fluorcarmoite-(BaNa)","Ba[box]Na2Na2[box]CaMg13Al(PO4)11(PO3OH)F2","6464","Italy"
"Fluorchegemite","Ca7(SiO4)3F2","6055","Russia"
"Fluor-dravite","NaMg3Al6(Si6O18)(BO3)3(OH)3F","5818","USA"
"Fluor-elbaite","Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3F","6014","Brazil"
"Fluorellestadite","Ca5(SiO4)1.5(S6+O4)1.5F","1957","Russia"
"Fluorite","CaF2","1958","unknown"
"Fluorkyuygenite","Ca12Al14O32[(H2O)4F2]","6207","Israel"
"Fluorlamprophyllite","(SrNa)Ti4+2Na3Ti4+(Si2O7)2O2F2","6198","Brazil"
"Fluor-liddicoatite","Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F","2843","Madagascar"
"Fluorluanshiweiite","KLiAl1.5[box]0.5(Si3.5Al0.5)O10F2","6942","China"
"Fluormayenite","Ca12Al14O32[[box]4F2]","6182","Palestine"
"Fluornatrocoulsellite","(Na1.5Ca0.5)(Mg1.5Al0.5)F6F","5799","Australia"
"Fluornatromicrolite","(Na1.5Bi3+0.5)Ta5+2O6F","5188","Brazil"
"Fluornatropyrochlore","(Na,Pb2+,Ca,REE3+,U6+)2Nb5+2O6F","6219","China"
"Fluoro-cannilloite","CaCa2(Mg4Al)(Si5Al3)O22F2","1962","Finland"
"Fluorocronite","Pb2+F2","5852","Russia"
"Fluoro-edenite","NaCa2Mg5(Si7Al)O22F2","1959","Italy"
"Fluorokinoshitalite","BaMg3Al2Si2O10F2","5828","China"
"Fluoro-leakeite","NaNa2(Mg2Al2Li)Si8O22F2","5741","Sweden"
"Fluoro-nybøite","NaNa2(Mg3Al2)(Si7Al)O22F2","4998","China"
"Fluoro-pargasite","NaCa2(Mg4Al)(Si6Al2)O22F2","5251","USA"
"Fluoro-pedrizite","NaLi2(Mg2Al2Li)Si8O22F2","5265","Russia"
"Fluorophlogopite","KMg3(Si3Al)O10F2","5325","Italy"
"Fluoro-richterite","Na(NaCa)Mg5Si8O22F2","1963","Russia"
"Fluoro-riebeckite","[box]Na2(Fe2+3Fe3+2)Si8O22F2","5338","USA"
"Fluoro-taramite","Na(NaCa)(Mg3Al2)(Si6Al2)O22F2","5527","China"
"Fluorotetraferriphlogopite","KMg3Fe3+Si3O10F2","5829","China"
"Fluoro-tremolite","[box]Ca2Mg5Si8O22F2","6546","USA"
"Fluorowardite","NaAl3(PO4)2F2(OH)2·2H2O","6074","USA"
"Fluorphosphohedyphane","Ca2Pb2+3(PO4)3F","5727","USA"
"Fluorpyromorphite","Pb2+5(PO4)3F","7224","Russia"
"Fluor-schorl","NaFe2+3Al6(Si6O18)(BO3)3(OH)3F","5906","Germany / Italy"
"Fluorsigaiite","Ca2Sr3(PO4)3F","7217","China"
"Fluorstrophite","SrCaSr3(PO4)3F","4236","Russia"
"Fluor-tsilaisite","NaMn2+3Al6(Si6O18)(BO3)3(OH)3F","6097","Italy"
"Fluor-uvite","CaMg3(Al5Mg)(Si6O18)(BO3)3(OH)3F","4552","Sri Lanka"
"Fluorvesuvianite","Ca19(Al,Mg)13(SiO4)10(Si2O7)4O(F,OH)9","4999","Russia"
"Fluorwavellite","Al3(PO4)2(OH)2F·5H2O","6476","USA"
"Flurlite","Zn2+Zn2+3Fe3+(PO4)3(OH)2(H2O)7·2H2O","6363","Germany"
"Foggite","CaAlPO4(OH)2·H2O","1965","USA"
"Fogoite-(Y)","Ca2Y3+2Na3Ti4+(Si2O7)2(OF)F2","6396","Portugal"
"Foitite","[box](Fe2+2Al)Al6(Si6O18)(BO3)3(OH)3OH","1966","USA"
"Folvikite","Sb5+Mn3+(Mg,Mn2+)10O8(BO3)4","6554","Sweden"
"Fontanite","Ca(U6+O2)3(CO3)2O2·6H2O","1967","France"
"Fontarnauite","(Na,K)2(Sr,Ca)(S6+O4)[B5O8(OH)]·2H2O","6346","Turkey"
"Foordite","Sn2+Nb5+2O6","1968","Rwanda"
"Footemineite","Ca2Mn2+5Be4(PO4)6(OH)4·6H2O","5529","USA"
"Forêtite","Cu2+2Al2(As5+O4)(OH,O,H2O)6","6037","France"
"Formanite-(Y)","Y3+Ta5+O4","1969","Australia"
"Formicaite","Ca(HCOO)2","1970","Russia"
"Fornacite","Cu2+Pb2+2(Cr6+O4)(As5+O4)(OH)","1971","Republic of the Congo"
"Forsterite","Mg2SiO4","1972","Italy"
"Foshagite","Ca4(SiO3)3(OH)2","1973","USA"
"Fougèrite","Fe2+4Fe3+2(OH)12(CO3)·3H2O","5256","France"
"Fourmarierite","Pb2+1-xO3-2x(U6+O2)4(OH)4+2x·4H2O","1975","Democratic Republic of the Congo"
"Fowlerite","(Mn2+,Zn2+)SiO3","5456","USA"
"Fraipontite","(Zn2+,Al)3(Si,Al)2O5(OH)4","1976","Belgium"
"Francevillite","Ba(U6+O2)2(V5+O4)2·5H2O","1977","Gabon"
"Franciscanite","Mn2+6(V5+[box])(SiO4)2O3(OH)3","4915","USA"
"Francisite","Cu2+3Bi3+(Se4+O3)2O2Cl","1980","Australia"
"Franckeite","Pb2+21.7Sn4+9.3(Fe2+,Fe3+)4.0Sb3+8.1S2-56.9","1981","Bolivia"
"Francoanellite","K3Al5(PO3OH)6(PO4)2·12H2O","1982","Italy"
"Françoisite-(Ce)","Ce3+(U6+O2)3(PO4)2O(OH)·6H2O","5530","Switzerland / Australia"
"Françoisite-(Nd)","Nd3+(U6+O2)3(PO4)2O(OH)·6H2O","1983","Democratic Republic of the Congo"
"Franconite","NaNb5+2O5(OH)·3H2O","1984","Canada"
"Frankamenite","K3Na3Ca5Si12O30(F,OH)4·H2O","1985","Russia"
"Frankdicksonite","BaF2","1986","USA"
"Frankhawthorneite","Cu2+2Te6+O4(OH)2","1987","USA"
"Franklinfurnaceite","Ca2Mn2+3Mn3+Fe3+Zn2+2Si2O10(OH)8","1988","USA"
"Franklinite","Zn2+Fe3+2O4","1989","USA"
"Franklinphilite","(K,Na)4(Mn2+,Mg,Zn2+)48(Si,Al)72(O,OH)216·6H2O","1990","USA"
"Franksousaite","Pb2+Cu2+(Se6+O4)(OH)2","7199","Bolivia"
"Fransoletite","Ca3Be2(PO4)2(PO3OH)2·4H2O","1991","USA"
"Franzinite","(Na,K)30Ca10(Si30Al30)O120(S6+O4)10·2H2O","1992","Italy"
"Freboldite","CoSe","1993","Germany"
"Fredrikssonite","Mg2Mn3+O2(BO3)","1994","Sweden"
"Freedite","Cu1+Pb2+8(As3+O3)2O3Cl5","1995","Sweden"
"Freieslebenite","Ag1+Pb2+Sb3+S2-3","1997","Germany"
"Freitalite","C14H10","7000","Germany"
